typeId,count,season,id,league_id,name
19,1818,17361,17361,82,2020/2021
10,140,17361,17361,82,2020/2021
21,30,17361,17361,82,2020/2021
20,22,17361,17361,82,2020/2021
19,1965,17420,17420,8,2020/2021
10,375,17420,17420,8,2020/2021
20,54,17420,17420,8,2020/2021
21,20,17420,17420,8,2020/2021
19,2877,17480,17480,564,2020/2021
10,227,17480,17480,564,2020/2021
20,80,17480,17480,564,2020/2021
21,61,17480,17480,564,2020/2021
19,2934,17488,17488,384,2020/2021
10,214,17488,17488,384,2020/2021
20,80,17488,17488,384,2020/2021
21,46,17488,17488,384,2020/2021
19,2162,18378,18378,8,2021/2022
10,325,18378,18378,8,2021/2022
20,34,18378,18378,8,2021/2022
21,34,18378,18378,8,2021/2022
19,1584,18444,18444,82,2021/2022
10,152,18444,18444,82,2021/2022
21,22,18444,18444,82,2021/2022
20,20,18444,18444,82,2021/2022
19,3079,18462,18462,564,2021/2022
10,176,18462,18462,564,2021/2022
20,104,18462,18462,564,2021/2022
21,85,18462,18462,564,2021/2022
19,2853,18576,18576,384,2021/2022
10,199,18576,18576,384,2021/2022
20,100,18576,18576,384,2021/2022
21,83,18576,18576,384,2021/2022
19,2061,19734,19734,8,2022/2023
10,301,19734,19734,8,2022/2023
20,38,19734,19734,8,2022/2023
21,19,19734,19734,8,2022/2023
19,1586,19744,19744,82,2022/2023
10,186,19744,19744,82,2022/2023
21,40,19744,19744,82,2022/2023
20,24,19744,19744,82,2022/2023
19,2815,19799,19799,564,2022/2023
10,220,19799,19799,564,2022/2023
20,165,19799,19799,564,2022/2023
21,91,19799,19799,564,2022/2023
19,3681,19806,19806,384,2022/2023
10,295,19806,19806,384,2022/2023
20,116,19806,19806,384,2022/2023
21,67,19806,19806,384,2022/2023
19,2778,21646,21646,8,2023/2024
10,183,21646,21646,8,2023/2024
20,51,21646,21646,8,2023/2024
21,49,21646,21646,8,2023/2024
19,2984,21694,21694,564,2023/2024
10,214,21694,21694,564,2023/2024
20,108,21694,21694,564,2023/2024
21,56,21694,21694,564,2023/2024
19,1914,21795,21795,82,2023/2024
10,208,21795,21795,82,2023/2024
21,40,21795,21795,82,2023/2024
20,38,21795,21795,82,2023/2024
19,2690,21818,21818,384,2023/2024
10,258,21818,21818,384,2023/2024
20,78,21818,21818,384,2023/2024
21,56,21818,21818,384,2023/2024
